shoe_name,shoe_type,shoe_color,shoe_price,shoe_size,shoe_link
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,13,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,14,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,15,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 4 / W 5.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 4.5 / W 6,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 5 / W 6.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 5.5 / W 7,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 6 / W 7.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 6.5 / W 8,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 7 / W 8.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 7.5 / W 9,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 8 / W 9.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 8.5 / W 10,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 9 / W 10.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 9.5 / W 11,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 10 / W 11.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 10.5 / W 12,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
