shoe_name,shoe_type,shoe_color,shoe_price,shoe_size,shoe_link
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 4 / W 5.5,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 4.5 / W 6,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 5 / W 6.5,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 5.5 / W 7,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 6 / W 7.5,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 6.5 / W 8,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 7 / W 8.5,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 7.5 / W 9,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 8 / W 9.5,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 8.5 / W 10,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
